County,Population,Income,Land Area
Alameda,1682353.00 ,112017.00 ,737.46 
Contra Costa,1165927.00 ,110455.00 ,716.93 
Marin,262321.00 ,131008.00 ,520.42 
Napa,138019.00 ,97498.00 ,748.28 
San Mateo,764442.00 ,136837.00 ,448.62 
Santa Clara,1936259.00 ,140258.00 ,1291.08 
Solano,453491.00 ,89648.00 ,821.83 
San Francisco,873965.00 ,126187.00 ,46.91 
Butte,211632.00 ,59863.00 ,1636.49 
Colusa,21839.00 ,61861.00 ,1150.71 
Glenn,28917.00 ,56332.00 ,1313.97 
Fresno,1008654.00 ,61276.00 ,5958.38 
Kern,909235.00 ,58824.00 ,8134.65 
Kings,152486.00 ,63267.00 ,1390.97 
Madera,156255.00 ,66709.00 ,2136.92 
Merced,281202.00 ,58861.00 ,1938.00 
Placer,404739.00 ,99734.00 ,1407.08 
San Joaquin,779233.00 ,74962.00 ,1392.37 
Sacramento,1585055.00 ,76422.00 ,965.27 
Shasta,182155.00 ,61937.00 ,3775.52 
Stanislaus,551275.00 ,68368.00 ,1496.02 
Sutter,98503.00 ,67003.00 ,602.70 
Tehama,65245.00 ,52901.00 ,2949.14 
Tulare,477544.00 ,57394.00 ,4823.90 
Yolo,222115.00 ,78386.00 ,1014.73 
Yuba,84310.00 ,62666.00 ,632.01 
